name,threads,run_date,total_time_process,total_time_cpu,comment,success,cpu_mJ,power_mW,datadir,db,runno
h01,1,09/04/2023 10:36:04,115.43944698403357,111.567472697,2.2Ghz,True,5734982.119,49344.54056199503,sf100,duckdb,1
h02,1,09/04/2023 10:36:20,14.743193478963803,13.943313459,2.2Ghz,True,777448.09,49452.70364097244,sf100,duckdb,1
h03,1,09/04/2023 10:37:31,69.5297143899952,66.74091305799999,2.2Ghz,True,3477499.087,49388.70598473383,sf100,duckdb,1
h04,1,09/04/2023 10:38:42,70.34651753801154,69.064249848,2.2Ghz,True,3530367.493,49614.86579131853,sf100,duckdb,1
h05,1,09/04/2023 10:39:49,65.82512495701667,63.75458766799999,2.2Ghz,True,3305466.419,49436.27206185182,sf100,duckdb,1
h06,1,09/04/2023 10:40:54,64.11663125205087,64.111802189,2.2Ghz,True,3205332.94,49398.757391391744,sf100,duckdb,1
h07,1,09/04/2023 10:43:13,138.19431773899123,138.17939293100002,2.2Ghz,True,6916902.625,49593.10917002665,sf100,duckdb,1
h08,1,09/04/2023 10:44:34,79.06505602697143,77.74006540900001,2.2Ghz,True,3996454.045,49475.01144271857,sf100,duckdb,1
h10,1,09/04/2023 10:45:56,80.56178596796235,80.433815616,2.2Ghz,True,4033226.451,49481.228069608595,sf100,duckdb,1
h11,1,09/04/2023 10:46:06,9.436063261993697,9.357001157,2.2Ghz,True,511537.923,49580.13179282182,sf100,duckdb,1
h12,1,09/04/2023 10:47:15,68.45974175201263,68.37968867800001,2.2Ghz,True,3426915.155,49461.50162274705,sf100,duckdb,1
h13,1,09/04/2023 10:48:36,79.53591707599116,79.127621405,2.2Ghz,True,3984875.299,49592.59621514826,sf100,duckdb,1
h14,1,09/04/2023 10:49:21,44.60349230800057,44.594477864999995,2.2Ghz,True,2248913.529,49502.34634296609,sf100,duckdb,1
h15,1,09/04/2023 10:50:47,84.66626393602928,84.658318281,2.2Ghz,True,4228931.647,49464.662275135335,sf100,duckdb,1
h16,1,09/04/2023 10:51:01,13.12260805402184,13.089642403,2.2Ghz,True,693890.309,49575.49802542132,sf100,duckdb,1
h17,1,09/04/2023 10:52:59,117.37727794999957,117.33441127,2.2Ghz,True,5861038.878,49586.77007748421,sf100,duckdb,1
h18,1,09/04/2023 10:56:14,194.22353718004888,194.046681584,2.2Ghz,True,9670128.177,49565.13943273628,sf100,duckdb,1
h19,1,09/04/2023 10:57:40,84.96217405202333,84.95400411,2.2Ghz,True,4245797.092,49488.53377303224,sf100,duckdb,1
h20,1,09/04/2023 10:58:55,74.10868842399213,74.01970376199999,2.2Ghz,True,3728275.958,49658.10010512056,sf100,duckdb,1
h21,1,09/04/2023 11:02:48,231.45176220301073,231.41255507,2.2Ghz,True,11550662.03,49699.66326369153,sf100,duckdb,1
h22,1,09/04/2023 11:03:10,21.13790352497017,21.134846457,2.2Ghz,True,1091182.629,49668.82205555531,sf100,duckdb,1
h01,3,09/04/2023 11:03:47,36.171383187000174,107.747520629,2.2Ghz,True,1917216.434,51881.437398575894,sf100,duckdb,1
h02,3,09/04/2023 11:03:54,5.962196476990357,16.053308328,2.2Ghz,True,357457.939,51461.99022515137,sf100,duckdb,1
