name,threads,run_date,total_time_process,total_time_cpu,comment,success,cpu_mJ,power_mW,datadir,db,runno
h01,48,06/05/2023 13:19:18,6.956702021067031,268.172960943,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h02,48,06/05/2023 13:19:32,13.738648773985915,120.285994593,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h03,48,06/05/2023 13:19:40,7.103298811009154,241.56968518900004,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h04,48,06/05/2023 13:19:46,6.0327390800230205,200.121415436,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h05,48,06/05/2023 13:19:58,12.270867830025963,354.2585872850001,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h06,48,06/05/2023 13:20:02,3.585018728976138,129.4877344449999,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h07,48,06/05/2023 13:20:28,25.29009704804048,807.2753125050001,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h08,48,06/05/2023 13:20:38,10.590779641992413,263.1676566459996,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h09,48,06/05/2023 13:20:55,16.073633328080177,490.1215111440001,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h10,48,06/05/2023 13:21:07,11.612025778973475,310.0246758020003,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h11,48,06/05/2023 13:21:19,11.80469636595808,128.48698584000022,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h12,48,06/05/2023 13:21:28,9.176406016922556,304.3148272979997,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h13,48,06/05/2023 13:21:38,9.639635164989159,387.8760621280003,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h14,48,06/05/2023 13:21:41,3.2548113560769707,103.57654233899984,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h15,48,06/05/2023 13:21:51,9.1924142469652,281.82248396199975,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h16,48,06/05/2023 13:21:56,,,"Schema at index 0 was different: 
p_brand: string
p_type: string
p_size: int64
supplier_cnt: int64
vs
part.p_brand: string
part.p_type: string
part.p_size: int64
supplier_cnt: int64",False,,,../fanniemae-benchmark/sf100,datafusion,1
h17,48,06/05/2023 13:22:39,,,External error: External error: External error: Resources exhausted: Failed to allocate additional 553648144 bytes for HashJoinStream[29] with 300422688 bytes already allocated - maximum available is 463586506,False,,,../fanniemae-benchmark/sf100,datafusion,1
h18,48,06/05/2023 13:23:20,,,External error: External error: Resources exhausted: Failed to allocate additional 595456 bytes for HashJoinStream[13] with 753982180 bytes already allocated - maximum available is 3110,False,,,../fanniemae-benchmark/sf100,datafusion,1
h19,48,06/05/2023 13:23:30,9.697173991939053,178.59223479699995,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h20,48,06/05/2023 13:23:47,16.40172145399265,524.9174859999994,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h21,48,06/05/2023 13:24:31,44.03972443402745,1265.7262354290006,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h22,48,06/05/2023 13:24:37,5.473139256006107,55.585781800000404,,True,,,../fanniemae-benchmark/sf100,datafusion,1
h01,48,06/05/2023 13:24:44,7.079320888034999,268.4139954120001,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h02,48,06/05/2023 13:24:59,14.592506697052158,120.80572680200021,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h03,48,06/05/2023 13:25:06,7.162865701015107,240.18129329300064,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h04,48,06/05/2023 13:25:12,6.13232066098135,200.0350656720002,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h05,48,06/05/2023 13:25:25,12.673668124014512,354.69149709999874,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h06,48,06/05/2023 13:25:29,3.5438270550221205,129.8747332540006,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h07,48,06/05/2023 13:25:52,22.95290335500613,728.6674303010004,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h08,48,06/05/2023 13:26:03,10.803671812987886,256.20079909800006,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h09,48,06/05/2023 13:26:19,16.057200126932003,499.686205547001,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h10,48,06/05/2023 13:26:31,11.493576501030475,310.23620186600056,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h11,48,06/05/2023 13:26:43,11.4273261759663,129.59859266000058,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h12,48,06/05/2023 13:26:52,9.022143029957078,309.13483131999965,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h13,48,06/05/2023 13:27:02,9.517511663027108,388.94406720699953,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h14,48,06/05/2023 13:27:05,3.212662406032905,104.15593985199848,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h15,48,06/05/2023 13:27:14,9.111868026084267,285.23680235199936,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h16,48,06/05/2023 13:27:20,,,"Schema at index 0 was different: 
p_brand: string
p_type: string
p_size: int64
supplier_cnt: int64
vs
part.p_brand: string
part.p_type: string
part.p_size: int64
supplier_cnt: int64",False,,,../fanniemae-benchmark/sf100,datafusion,2
h17,48,06/05/2023 13:27:55,,,External error: External error: External error: Resources exhausted: Failed to allocate additional 553648144 bytes for HashJoinStream[4] with 301094616 bytes already allocated - maximum available is 464436922,False,,,../fanniemae-benchmark/sf100,datafusion,2
h18,48,06/05/2023 13:28:34,,,External error: External error: Resources exhausted: Failed to allocate additional 595172 bytes for HashJoinStream[47] with 753829968 bytes already allocated - maximum available is 542154,False,,,../fanniemae-benchmark/sf100,datafusion,2
h19,48,06/05/2023 13:28:44,9.764821626944467,170.28299192800114,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h20,48,06/05/2023 13:29:00,16.326430229004472,525.7856579260024,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h21,48,06/05/2023 13:29:44,43.546911517041735,1276.9150571729988,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h22,48,06/05/2023 13:29:50,5.564566676039249,55.212261339002,,True,,,../fanniemae-benchmark/sf100,datafusion,2
h01,48,06/05/2023 13:29:57,7.090120341046713,272.45246308399874,,True,,,../fanniemae-benchmark/sf100,datafusion,3
h02,48,06/05/2023 13:30:12,14.274636300979182,122.47743295499822,,True,,,../fanniemae-benchmark/sf100,datafusion,3
h03,48,06/05/2023 13:30:19,7.109187870984897,240.4274693269981,,True,,,../fanniemae-benchmark/sf100,datafusion,3
h04,48,06/05/2023 13:30:25,6.201764553086832,200.14018192799995,,True,,,../fanniemae-benchmark/sf100,datafusion,3
h05,48,06/05/2023 13:30:38,12.38922262203414,357.44140713199886,,True,,,../fanniemae-benchmark/sf100,datafusion,3
h06,48,06/05/2023 13:30:42,3.5575971140060574,130.3406906479977,,True,,,../fanniemae-benchmark/sf100,datafusion,3
h07,48,06/05/2023 13:31:04,22.5416107570054,731.3294748810004,,True,,,../fanniemae-benchmark/sf100,datafusion,3
h08,48,06/05/2023 13:31:16,10.964630322065204,256.8490838580001,,True,,,../fanniemae-benchmark/sf100,datafusion,3
h09,48,06/05/2023 13:31:32,15.78832968894858,483.95413618599923,,True,,,../fanniemae-benchmark/sf100,datafusion,3
h10,48,06/05/2023 13:31:43,11.36869930208195,310.188326659998,,True,,,../fanniemae-benchmark/sf100,datafusion,3
h11,48,06/05/2023 13:31:55,11.439890470006503,129.00228452199735,,True,,,../fanniemae-benchmark/sf100,datafusion,3
h12,48,06/05/2023 13:32:04,9.088908222969621,307.5845655430021,,True,,,../fanniemae-benchmark/sf100,datafusion,3
h13,48,06/05/2023 13:32:14,9.39442678191699,391.0409207899975,,True,,,../fanniemae-benchmark/sf100,datafusion,3
h14,48,06/05/2023 13:32:17,3.214664987055585,104.31581448699944,,True,,,../fanniemae-benchmark/sf100,datafusion,3
h15,48,06/05/2023 13:32:26,9.117695748922415,283.328466914998,,True,,,../fanniemae-benchmark/sf100,datafusion,3
h16,48,06/05/2023 13:32:32,,,"Schema at index 0 was different: 
p_brand: string
p_type: string
p_size: int64
supplier_cnt: int64
vs
part.p_brand: string
part.p_type: string
part.p_size: int64
supplier_cnt: int64",False,,,../fanniemae-benchmark/sf100,datafusion,3
