name,threads,run_date,total_time_process,total_time_cpu,comment,success,cpu_mJ,power_mW,datadir,db,runno
h01,48,12/09/2023 15:57:18,34.64346337500319,1494.87783259,,True,,,../fanniemae-benchmark/sf500,datafusion,1
h02,48,12/09/2023 15:57:56,36.92120405200694,599.7280363630002,,True,,,../fanniemae-benchmark/sf500,datafusion,1
h03,48,12/09/2023 15:58:29,33.07809180699405,1375.4531616129998,,True,,,../fanniemae-benchmark/sf500,datafusion,1
h04,48,12/09/2023 15:58:55,25.02947772400512,1041.384859716,,True,,,../fanniemae-benchmark/sf500,datafusion,1
h05,48,12/09/2023 15:59:48,52.72428150298947,2017.490109118,,True,,,../fanniemae-benchmark/sf500,datafusion,1
h06,48,12/09/2023 16:00:07,18.497132364005665,743.8426887510004,,True,,,../fanniemae-benchmark/sf500,datafusion,1
h07,48,12/09/2023 16:01:04,,,External error: External error: External error: External error: External error: External error: Resources exhausted: Failed to allocate additional 299744 bytes for HashJoinInput[40] with 46394528 bytes already allocated - maximum available is 532,False,,,../fanniemae-benchmark/sf500,datafusion,1
h08,48,12/09/2023 16:01:56,51.13591994899616,1883.682862994001,,True,,,../fanniemae-benchmark/sf500,datafusion,1
h09,48,12/09/2023 16:03:17,79.93493119299819,3174.5893801340007,,True,,,../fanniemae-benchmark/sf500,datafusion,1
h10,48,12/09/2023 16:04:12,54.0073518549907,1969.9824201230003,,True,,,../fanniemae-benchmark/sf500,datafusion,1
h11,48,12/09/2023 16:04:36,23.10616489200038,778.7430652420007,,True,,,../fanniemae-benchmark/sf500,datafusion,1
h12,48,12/09/2023 16:05:27,50.5545953510009,1959.2943174710017,,True,,,../fanniemae-benchmark/sf500,datafusion,1
h13,48,12/09/2023 16:06:06,38.43077879100747,1728.8177632840016,,True,,,../fanniemae-benchmark/sf500,datafusion,1
h14,48,12/09/2023 16:06:26,19.50180579299922,525.7271411500005,,True,,,../fanniemae-benchmark/sf500,datafusion,1
h15,48,12/09/2023 16:07:02,34.88619146699784,1570.3766384919982,,True,,,../fanniemae-benchmark/sf500,datafusion,1
h16,48,12/09/2023 16:07:24,,,"Schema at index 0 was different: 
p_brand: string
p_type: string
p_size: int64
supplier_cnt: int64
vs
part.p_brand: string
part.p_type: string
part.p_size: int64
supplier_cnt: int64",False,,,../fanniemae-benchmark/sf500,datafusion,1
h17,48,12/09/2023 16:08:11,,,External error: External error: External error: Resources exhausted: Failed to allocate additional 198240 bytes for HashJoinInput[17] with 143460384 bytes already allocated - maximum available is 136264,False,,,../fanniemae-benchmark/sf500,datafusion,1
