name,threads,run_date,total_time_process,total_time_cpu,comment,success,datadir,db,runno
h01,48,17/08/2023 12:13:20,169.9084411560325,5227.515390185,,True,../fanniemae-benchmark/sf1000,polars-streaming,1
h02,48,17/08/2023 12:13:34,13.99793883296661,151.48238158700042,,True,../fanniemae-benchmark/sf1000,polars-streaming,1
h04,48,17/08/2023 12:28:32,898.3893703690264,37591.782261839,,True,../fanniemae-benchmark/sf1000,polars-streaming,1
h05,48,17/08/2023 13:10:14,2501.401634712005,109242.80534630199,,True,../fanniemae-benchmark/sf1000,polars-streaming,1
h10,48,17/08/2023 16:43:05,12771.596127694938,351099.808932802,,True,../fanniemae-benchmark/sf1000,polars-streaming,1
h11,48,17/08/2023 17:23:20,2415.0258979949867,10098.766325023025,,True,../fanniemae-benchmark/sf1000,polars-streaming,1
h14,48,17/08/2023 17:26:55,214.30722918501124,2642.269404501014,,True,../fanniemae-benchmark/sf1000,polars-streaming,1
h15,48,17/08/2023 17:28:08,73.52889612899162,1128.8917006110423,,True,../fanniemae-benchmark/sf1000,polars-streaming,1
h16,48,17/08/2023 17:30:33,144.84235692303628,3773.6421651059645,,True,../fanniemae-benchmark/sf1000,polars-streaming,1
h19,48,17/08/2023 17:47:06,992.8890976510011,18141.67328128504,,True,../fanniemae-benchmark/sf1000,polars-streaming,1
h20,48,17/08/2023 18:32:13,2707.1986598469084,29337.680050704046,,True,../fanniemae-benchmark/sf1000,polars-streaming,1
h22,48,17/08/2023 18:32:52,39.26324371609371,431.7555348579772,,True,../fanniemae-benchmark/sf1000,polars-streaming,1
h01,48,17/08/2023 18:35:42,169.29632548592053,5303.914562687045,,True,../fanniemae-benchmark/sf1000,polars-streaming,2
h02,48,17/08/2023 18:35:56,14.300069688004442,159.23704103101045,,True,../fanniemae-benchmark/sf1000,polars-streaming,2
h04,48,17/08/2023 18:50:54,898.4233684539795,37680.27742619405,,True,../fanniemae-benchmark/sf1000,polars-streaming,2
h05,48,17/08/2023 19:32:36,2501.971537587,109322.1003321961,,True,../fanniemae-benchmark/sf1000,polars-streaming,2
h10,48,17/08/2023 23:07:28,12891.800505927997,352240.491804732,,True,../fanniemae-benchmark/sf1000,polars-streaming,2
h11,48,17/08/2023 23:47:38,2409.9190144520253,10078.671438695863,,True,../fanniemae-benchmark/sf1000,polars-streaming,2
h14,48,17/08/2023 23:51:13,214.73426217399538,2643.0801544201095,,True,../fanniemae-benchmark/sf1000,polars-streaming,2
h15,48,17/08/2023 23:52:26,73.12941175501328,1135.6421531150118,,True,../fanniemae-benchmark/sf1000,polars-streaming,2
h16,48,17/08/2023 23:54:50,144.67410151695367,3772.1014864658937,,True,../fanniemae-benchmark/sf1000,polars-streaming,2
h19,48,18/08/2023 00:11:17,986.4177373900311,18113.06510211504,,True,../fanniemae-benchmark/sf1000,polars-streaming,2
h20,48,18/08/2023 00:56:45,2728.230700451997,29222.59231297695,,True,../fanniemae-benchmark/sf1000,polars-streaming,2
h22,48,18/08/2023 00:57:24,39.12110665894579,433.0463092359714,,True,../fanniemae-benchmark/sf1000,polars-streaming,2
h01,48,18/08/2023 01:00:13,169.14999397506472,5305.355606989935,,True,../fanniemae-benchmark/sf1000,polars-streaming,3
h02,48,18/08/2023 01:00:28,14.252777619985864,155.25436151912436,,True,../fanniemae-benchmark/sf1000,polars-streaming,3
h04,48,18/08/2023 01:15:26,898.5833180949558,37628.469088756014,,True,../fanniemae-benchmark/sf1000,polars-streaming,3
h05,48,18/08/2023 01:57:08,2501.461381768924,109282.01210266398,,True,../fanniemae-benchmark/sf1000,polars-streaming,3
h10,48,18/08/2023 05:31:10,12842.325532889925,351538.10215642187,,True,../fanniemae-benchmark/sf1000,polars-streaming,3
h11,48,18/08/2023 06:11:34,2423.4860285420436,10103.743307375116,,True,../fanniemae-benchmark/sf1000,polars-streaming,3
h14,48,18/08/2023 06:15:08,214.095108376001,2648.0772933280095,,True,../fanniemae-benchmark/sf1000,polars-streaming,3
h15,48,18/08/2023 06:16:22,74.2322263000533,1130.7050888838712,,True,../fanniemae-benchmark/sf1000,polars-streaming,3
h16,48,18/08/2023 06:18:48,145.81446228106506,3777.7898293090984,,True,../fanniemae-benchmark/sf1000,polars-streaming,3
h19,48,18/08/2023 06:35:16,988.1303973060567,18124.21827820898,,True,../fanniemae-benchmark/sf1000,polars-streaming,3
h20,48,18/08/2023 07:20:37,2721.063092696946,29250.43159890501,,True,../fanniemae-benchmark/sf1000,polars-streaming,3
h22,48,18/08/2023 07:21:16,39.174692134023644,433.7267961120233,,True,../fanniemae-benchmark/sf1000,polars-streaming,3
h01,48,18/08/2023 07:24:05,169.38204710709397,5320.864203555975,,True,../fanniemae-benchmark/sf1000,polars-streaming,4
h02,48,18/08/2023 07:24:20,14.273543760064058,157.94548705685884,,True,../fanniemae-benchmark/sf1000,polars-streaming,4
h04,48,18/08/2023 07:39:20,899.9445130539825,37681.239697576966,,True,../fanniemae-benchmark/sf1000,polars-streaming,4
h05,48,18/08/2023 08:21:01,2501.471869042027,109262.34607852693,,True,../fanniemae-benchmark/sf1000,polars-streaming,4
h10,48,18/08/2023 11:54:01,12779.822377674049,351538.9997212412,,True,../fanniemae-benchmark/sf1000,polars-streaming,4
h11,48,18/08/2023 12:34:17,2415.933991387952,10071.677149341907,,True,../fanniemae-benchmark/sf1000,polars-streaming,4
h14,48,18/08/2023 12:37:51,214.43710044398904,2656.538980168756,,True,../fanniemae-benchmark/sf1000,polars-streaming,4
h15,48,18/08/2023 12:39:06,75.13512070698198,1133.9513910431415,,True,../fanniemae-benchmark/sf1000,polars-streaming,4
h16,48,18/08/2023 12:41:31,144.8794350050157,3780.319805839099,,True,../fanniemae-benchmark/sf1000,polars-streaming,4
h19,48,18/08/2023 12:54:27,775.9049457330257,19856.02142794337,,True,../fanniemae-benchmark/sf1000,polars-streaming,4
h20,48,18/08/2023 13:39:39,2711.696945882053,29338.191812342033,,True,../fanniemae-benchmark/sf1000,polars-streaming,4
h22,48,18/08/2023 13:40:18,39.03722815099172,431.06176453083754,,True,../fanniemae-benchmark/sf1000,polars-streaming,4
