name,threads,run_date,total_time_process,total_time_cpu,comment,success,cpu_mJ,power_mW,datadir,db,runno
h01,12,08/04/2023 12:05:58,80.50689095299458,889.013511546,2.8Ghz,True,5611887.686,67832.45984047242,sf1000,duckdb,1
h02,12,08/04/2023 12:06:30,29.167263540963177,300.928285019,2.8Ghz,True,2107708.444,66761.37691951888,sf1000,duckdb,1
h03,12,08/04/2023 12:07:45,72.25728162104497,703.946467163,2.8Ghz,True,4937444.476,66169.1256600517,sf1000,duckdb,1
h05,12,08/04/2023 12:09:02,73.56895220000297,732.112999904,2.8Ghz,True,5026694.835,66069.7196784719,sf1000,duckdb,1
h06,12,08/04/2023 12:09:53,48.21551668900065,520.091722449,2.8Ghz,True,3345474.817,66287.08342668985,sf1000,duckdb,1
h07,12,08/04/2023 12:14:08,252.47719198302366,2386.688450249,2.8Ghz,True,16320021.433,63974.36662304041,sf1000,duckdb,1
h08,12,08/04/2023 12:15:39,84.73518245096784,876.760166606,2.8Ghz,True,5881167.171,67026.11443734397,sf1000,duckdb,1
h10,12,08/04/2023 12:17:19,97.21868679096224,910.336296817,2.8Ghz,True,6549732.694,65739.92992425786,sf1000,duckdb,1
h11,12,08/04/2023 12:17:40,14.552331336017232,159.24383283999998,2.8Ghz,True,1129068.548,66870.75015444448,sf1000,duckdb,1
h12,12,08/04/2023 12:18:44,62.09116150002228,617.244218748,2.8Ghz,True,4278194.023,66481.95481033355,sf1000,duckdb,1
h13,12,08/04/2023 12:21:29,161.8217885720078,1653.6503777379999,2.8Ghz,True,10370047.258,63192.59011962088,sf1000,duckdb,1
h14,12,08/04/2023 12:22:35,63.140828053990845,534.898380289,2.8Ghz,True,4150563.904,63428.93278489586,sf1000,duckdb,1
h15,12,08/04/2023 12:24:14,95.61558393103769,945.7077881260001,2.8Ghz,True,6574604.042,67158.56412951161,sf1000,duckdb,1
h16,12,08/04/2023 12:24:39,22.033984182984568,225.99534450500002,2.8Ghz,True,1592440.2,65388.36335155603,sf1000,duckdb,1
h19,12,08/04/2023 12:26:07,83.52458266500616,850.624542217,2.8Ghz,True,5705155.323,66463.2390555683,sf1000,duckdb,1
h20,12,08/04/2023 12:28:03,113.01456008304376,1065.615018772,2.8Ghz,True,7571437.837,65598.71029885604,sf1000,duckdb,1
h22,12,08/04/2023 12:28:59,51.06289028801257,446.664845036,2.8Ghz,True,3182192.078,59677.86853500301,sf1000,duckdb,1
h01,24,08/04/2023 12:29:47,43.82141588901868,920.1986285749999,2.8Ghz,True,3907194.776,84783.25226567918,sf1000,duckdb,1
h02,24,08/04/2023 12:30:09,19.299157792993356,385.50235711500005,2.8Ghz,True,1657479.027,76249.51607160889,sf1000,duckdb,1
h03,24,08/04/2023 12:31:07,54.59448368597077,855.164014451,2.8Ghz,True,4132809.619,72607.9099840244,sf1000,duckdb,1
h05,24,08/04/2023 12:32:09,59.39334206498461,934.627412198,2.8Ghz,True,4442670.731,71782.90653996383,sf1000,duckdb,1
h06,24,08/04/2023 12:32:39,27.42837174795568,539.785284159,2.8Ghz,True,2350379.946,79121.67535628167,sf1000,duckdb,1
h07,24,08/04/2023 12:36:07,204.86857012403198,3342.338260598,2.8Ghz,True,14136275.767,68124.36318842099,sf1000,duckdb,1
h08,24,08/04/2023 12:37:23,70.48033423599554,1065.901414996,2.8Ghz,True,5269196.301,71665.51666825663,sf1000,duckdb,1
h10,24,08/04/2023 12:38:39,73.13939349300927,1127.359770627,2.8Ghz,True,5394494.859,71396.00311282069,sf1000,duckdb,1
h11,24,08/04/2023 12:38:55,9.454230548988562,195.514193848,2.8Ghz,True,887666.817,75128.56730989943,sf1000,duckdb,1
h12,24,08/04/2023 12:39:35,37.52354677498806,673.280294169,2.8Ghz,True,3048840.072,76630.44329126301,sf1000,duckdb,1
h13,24,08/04/2023 12:41:27,109.83895115501946,2062.927588274,2.8Ghz,True,7729701.854,68949.70547889448,sf1000,duckdb,1
h14,24,08/04/2023 12:42:32,59.7755278829718,670.128205009,2.8Ghz,True,4136933.414,66536.7894735033,sf1000,duckdb,1
h15,24,08/04/2023 12:44:21,105.33807593700476,1525.660831803,2.8Ghz,True,7642193.73,70994.677763967,sf1000,duckdb,1
h16,24,08/04/2023 12:44:41,16.012007424025796,289.00154045899995,2.8Ghz,True,1311581.601,71340.57551201449,sf1000,duckdb,1
h19,24,08/04/2023 12:45:55,70.2148621280212,1146.8405425229998,2.8Ghz,True,5289619.439,72957.0781941593,sf1000,duckdb,1
h20,24,08/04/2023 12:47:23,84.72159556497354,1439.753608347,2.8Ghz,True,6335443.452,72655.50616864047,sf1000,duckdb,1
h22,24,08/04/2023 12:48:14,45.8003234550124,650.476241783,2.8Ghz,True,2972173.901,61698.348007182736,sf1000,duckdb,1
h01,48,08/04/2023 12:48:57,38.81320211099228,1391.570297733,2.8Ghz,True,3694518.427,90024.65605454087,sf1000,duckdb,1
h02,48,08/04/2023 12:49:18,18.515582691994496,661.3584879819999,2.8Ghz,True,1658818.603,79251.45272958418,sf1000,duckdb,1
h03,48,08/04/2023 12:50:16,55.04088187997695,1199.656987448,2.8Ghz,True,4221159.954,73555.00609254799,sf1000,duckdb,1
h05,48,08/04/2023 12:51:21,62.10487312800251,1359.7901063630002,2.8Ghz,True,4654621.013,72045.59568803114,sf1000,duckdb,1
h06,48,08/04/2023 12:51:45,20.515036209020764,744.990317117,2.8Ghz,True,1963648.573,86175.89428814915,sf1000,duckdb,1
h07,48,08/04/2023 12:55:05,198.06291256501572,5523.498616584,2.8Ghz,True,14045994.975,69983.4576241449,sf1000,duckdb,1
h08,48,08/04/2023 12:56:24,70.70494198100641,1289.653176813,2.8Ghz,True,5329388.074,72285.2374291162,sf1000,duckdb,1
h10,48,08/04/2023 12:57:37,70.43338664004114,1676.002788432,2.8Ghz,True,5356013.939,73510.78632830069,sf1000,duckdb,1
h11,48,08/04/2023 12:57:53,8.834960015956312,314.337172908,2.8Ghz,True,869193.606,77609.74897454405,sf1000,duckdb,1
h12,48,08/04/2023 12:58:30,34.69978795299539,937.088050874,2.8Ghz,True,2944821.007,79668.83947655307,sf1000,duckdb,1
h13,48,08/04/2023 13:00:14,101.83654946199385,3193.022131692,2.8Ghz,True,7495416.24,72010.70910525751,sf1000,duckdb,1
h14,48,08/04/2023 13:01:21,60.86964575597085,1011.776093818,2.8Ghz,True,4271591.184,67537.44982330993,sf1000,duckdb,1
h15,48,08/04/2023 13:02:32,68.01719879900338,2285.7699561629997,2.8Ghz,True,5748567.598,81738.61482676104,sf1000,duckdb,1
h16,48,08/04/2023 13:02:51,15.035984468006063,479.187243938,2.8Ghz,True,1330178.128,76500.03512049794,sf1000,duckdb,1
h19,48,08/04/2023 13:04:06,70.40477682597702,1722.501617273,2.8Ghz,True,5370079.222,73883.67255408317,sf1000,duckdb,1
h20,48,08/04/2023 13:05:35,86.03351076995023,2486.287380811,2.8Ghz,True,6673558.306,75432.71900557626,sf1000,duckdb,1
h22,48,08/04/2023 13:06:28,47.510580442030914,1200.3615847049998,2.8Ghz,True,3128533.628,62744.25112119159,sf1000,duckdb,1
h01,12,08/04/2023 13:07:52,80.48474101803731,889.502919979,2.8Ghz,True,5667455.352,68520.0735272009,sf1000,duckdb,2
h02,12,08/04/2023 13:08:24,29.50644258101238,308.72726261599996,2.8Ghz,True,2144875.757,67220.50850963444,sf1000,duckdb,2
h03,12,08/04/2023 13:09:42,74.94431270897621,728.532758623,2.8Ghz,True,5114672.554,66158.98593638274,sf1000,duckdb,2
h05,12,08/04/2023 13:11:03,77.17095136101125,759.207231939,2.8Ghz,True,5248294.687,65869.15576523989,sf1000,duckdb,2
h06,12,08/04/2023 13:11:53,47.59064657398267,516.702378134,2.8Ghz,True,3301575.659,66222.4437789426,sf1000,duckdb,2
h07,12,08/04/2023 13:16:16,260.2334488540073,2468.370014511,2.8Ghz,True,16814298.225,63966.55072209243,sf1000,duckdb,2
h08,12,08/04/2023 13:17:46,85.09681539604208,878.830683637,2.8Ghz,True,5916052.635,67115.12938595618,sf1000,duckdb,2
h10,12,08/04/2023 13:19:28,98.46453826199286,918.2728429890001,2.8Ghz,True,6615473.023,65579.80392617105,sf1000,duckdb,2
h11,12,08/04/2023 13:19:49,14.407955238013528,158.180995179,2.8Ghz,True,1115163.689,66517.95177761924,sf1000,duckdb,2
h12,12,08/04/2023 13:20:53,62.245541457028594,616.696833983,2.8Ghz,True,4285495.647,66422.05582555423,sf1000,duckdb,2
h13,12,08/04/2023 13:23:39,163.46444836404407,1669.1215311659998,2.8Ghz,True,10466422.767,63149.17398189785,sf1000,duckdb,2
h14,12,08/04/2023 13:24:47,63.93597452400718,532.8321800069999,2.8Ghz,True,4193295.84,63244.99830589391,sf1000,duckdb,2
h15,12,08/04/2023 13:26:45,114.43382598599419,1059.731907433,2.8Ghz,True,7728704.53,66196.86195282517,sf1000,duckdb,2
h16,12,08/04/2023 13:27:10,22.522758960025385,222.590844901,2.8Ghz,True,1610732.421,64772.35520940378,sf1000,duckdb,2
h19,12,08/04/2023 13:28:42,88.19333777599968,883.461406746,2.8Ghz,True,6020019.807,66527.76222643747,sf1000,duckdb,2
h20,12,08/04/2023 13:30:46,120.0336319039925,1144.8525194229999,2.8Ghz,True,8061647.166,65830.2825946982,sf1000,duckdb,2
h22,12,08/04/2023 13:31:42,51.35833326500142,446.34936026400004,2.8Ghz,True,3201236.61,59644.295787210496,sf1000,duckdb,2
h01,24,08/04/2023 13:32:31,44.494920074997935,931.293538916,2.8Ghz,True,3956112.245,84600.95317499565,sf1000,duckdb,2
h02,24,08/04/2023 13:32:53,19.569982293003704,383.57687647,2.8Ghz,True,1671761.461,76081.13065934423,sf1000,duckdb,2
h03,24,08/04/2023 13:33:50,54.44911984400824,849.256627709,2.8Ghz,True,4126233.894,72640.9967778505,sf1000,duckdb,2
h05,24,08/04/2023 13:34:53,59.328236840025056,938.349448452,2.8Ghz,True,4437261.495,71754.73570910828,sf1000,duckdb,2
h06,24,08/04/2023 13:35:22,26.671680108993314,533.737146375,2.8Ghz,True,2302758.584,79519.07926364521,sf1000,duckdb,2
h07,24,08/04/2023 13:38:51,206.051469225029,3389.744705515,2.8Ghz,True,14202046.765,68051.08921712669,sf1000,duckdb,2
h08,24,08/04/2023 13:40:08,70.90018253301969,1070.901064144,2.8Ghz,True,5295063.676,71635.30923245347,sf1000,duckdb,2
h10,24,08/04/2023 13:41:24,73.29284124198603,1126.850017497,2.8Ghz,True,5401733.301,71356.902743603,sf1000,duckdb,2
h11,24,08/04/2023 13:41:40,9.427121397980954,196.141973976,2.8Ghz,True,885560.085,75179.66616468283,sf1000,duckdb,2
h12,24,08/04/2023 13:42:20,37.75726132799173,674.75501705,2.8Ghz,True,3064954.9,76567.14965088957,sf1000,duckdb,2
h13,24,08/04/2023 13:44:12,109.64176916197175,2055.918155211,2.8Ghz,True,7714802.356,68940.49186761066,sf1000,duckdb,2
h14,24,08/04/2023 13:45:20,63.432060203980654,748.612162141,2.8Ghz,True,4337564.823,65897.56274113437,sf1000,duckdb,2
h15,24,08/04/2023 13:47:08,103.8872116789571,1513.8919986399999,2.8Ghz,True,7562734.018,71208.04688498136,sf1000,duckdb,2
h16,24,08/04/2023 13:47:27,16.048337811022066,288.816135965,2.8Ghz,True,1312949.069,71320.95955093564,sf1000,duckdb,2
h19,24,08/04/2023 13:48:41,70.09756849100813,1145.25771189,2.8Ghz,True,5285025.591,72996.43716487408,sf1000,duckdb,2
h20,24,08/04/2023 13:50:09,83.94187358801719,1440.207781013,2.8Ghz,True,6287890.782,72766.4886599187,sf1000,duckdb,2
h22,24,08/04/2023 13:50:59,45.5369098559604,657.364938177,2.8Ghz,True,2966965.491,61967.35617137773,sf1000,duckdb,2
h01,48,08/04/2023 13:51:42,38.82004987000255,1388.013317286,2.8Ghz,True,3695426.949,90015.09792830668,sf1000,duckdb,2
h02,48,08/04/2023 13:52:03,18.515133231994696,657.8052728289999,2.8Ghz,True,1659494.7,79255.03134612348,sf1000,duckdb,2
h03,48,08/04/2023 13:53:02,55.09324870200362,1213.125057972,2.8Ghz,True,4226503.367,73570.7275363541,sf1000,duckdb,2
h05,48,08/04/2023 13:54:07,61.86132779699983,1408.156527635,2.8Ghz,True,4655880.591,72351.31695541975,sf1000,duckdb,2
h06,48,08/04/2023 13:54:30,20.87400221603457,748.8531458150001,2.8Ghz,True,1984272.216,85721.8470623241,sf1000,duckdb,2
h07,48,08/04/2023 13:57:52,198.87277774699032,5565.031047441,2.8Ghz,True,14114182.871,70042.30330657316,sf1000,duckdb,2
h08,48,08/04/2023 13:59:10,70.4340348370024,1279.54337729,2.8Ghz,True,5321027.727,72436.88099817147,sf1000,duckdb,2
h10,48,08/04/2023 14:00:23,69.66569682396948,1644.289252896,2.8Ghz,True,5313830.956,73695.08492826384,sf1000,duckdb,2
h11,48,08/04/2023 14:00:39,9.153760129993316,306.654679938,2.8Ghz,True,889812.168,77072.7330750561,sf1000,duckdb,2
h12,48,08/04/2023 14:01:16,34.7155905640102,941.250503071,2.8Ghz,True,2946020.606,79668.47874036322,sf1000,duckdb,2
