name,threads,run_date,total_time_process,total_time_cpu,comment,success,cpu_mJ,power_mW,datadir,db,runno
h01,1,10/04/2023 21:15:48,62.671893541002646,62.666500712,boost,True,3445479.792,54566.98762871195,sf100,duckdb,1
h02,1,10/04/2023 21:15:57,8.309077573940158,8.308323047,boost,True,484441.011,54467.126529867906,sf100,duckdb,1
h03,1,10/04/2023 21:16:38,40.76719865296036,40.763029592,boost,True,2232432.158,54061.8606178258,sf100,duckdb,1
h04,1,10/04/2023 21:17:23,43.92644214397296,43.920381003,boost,True,2417748.624,54429.30947736336,sf100,duckdb,1
h05,1,10/04/2023 21:18:04,40.34594847401604,40.342587566999995,boost,True,2220951.536,54211.67884084796,sf100,duckdb,1
h06,1,10/04/2023 21:18:42,37.274809986003675,37.272097796,boost,True,2060929.171,54613.73914922201,sf100,duckdb,1
h07,1,10/04/2023 21:20:13,90.91491373407189,90.906229949,boost,True,4969939.88,54212.86990210087,sf100,duckdb,1
h08,1,10/04/2023 21:21:03,48.98630766896531,48.981337767999996,boost,True,2709581.005,54200.38528331882,sf100,duckdb,1
h10,1,10/04/2023 21:21:53,49.0485744390171,49.043329308,boost,True,2700712.858,54435.35463804091,sf100,duckdb,1
h11,1,10/04/2023 21:21:59,5.551256181905046,5.550995019,boost,True,333244.15,54853.76862835725,sf100,duckdb,1
h12,1,10/04/2023 21:22:41,40.88087923603598,40.878108798999996,boost,True,2251325.636,54405.66947518667,sf100,duckdb,1
h13,1,10/04/2023 21:23:34,52.391202408936806,52.383207316,boost,True,2856586.983,54018.607598288894,sf100,duckdb,1
h14,1,10/04/2023 21:24:01,27.209054379025474,27.205929523,boost,True,1512446.412,54586.519440775366,sf100,duckdb,1
h15,1,10/04/2023 21:24:53,50.92901783704292,50.922275838,boost,True,2807438.692,54594.019036186306,sf100,duckdb,1
h16,1,10/04/2023 21:25:02,8.650926982983947,8.650247427,boost,True,495814.34,54045.03512891107,sf100,duckdb,1
h17,1,10/04/2023 21:26:24,81.35018256993499,81.340251332,boost,True,4414680.724,53939.633569148136,sf100,duckdb,1
h18,1,10/04/2023 21:28:39,134.328911856981,134.312839553,boost,True,7260393.421,53837.84537150885,sf100,duckdb,1
h19,1,10/04/2023 21:29:30,50.83091734210029,50.825839696,boost,True,2808632.722,54712.47739330048,sf100,duckdb,1
h20,1,10/04/2023 21:30:18,47.21800417103805,47.213758764,boost,True,2601328.913,54423.75745473955,sf100,duckdb,1
h21,1,10/04/2023 21:32:50,151.46034246799536,151.443411005,boost,True,8188067.294,53856.33726849591,sf100,duckdb,1
h22,1,10/04/2023 21:33:05,14.261642034980468,14.260060850999999,boost,True,800178.742,54214.70131915624,sf100,duckdb,1
h01,3,10/04/2023 21:33:27,21.11767966998741,62.884153256,boost,True,1372015.701,63540.459555386034,sf100,duckdb,1
h02,3,10/04/2023 21:33:31,3.9054501770297065,10.44721792,boost,True,272434.428,60612.00367644324,sf100,duckdb,1
h03,3,10/04/2023 21:33:46,14.37893821299076,42.430891175,boost,True,922597.918,61873.279648478616,sf100,duckdb,1
h04,3,10/04/2023 21:34:05,18.141537723015063,48.444155392,boost,True,1110668.972,59609.694172435666,sf100,duckdb,1
h05,3,10/04/2023 21:34:20,14.334119888953865,42.306708281,boost,True,913642.357,61059.530259045016,sf100,duckdb,1
h06,3,10/04/2023 21:34:34,12.643609503051266,37.488557106,boost,True,821163.391,62660.63058991207,sf100,duckdb,1
h07,3,10/04/2023 21:35:07,32.96528024296276,96.84323774,boost,True,2056488.987,60969.99332777633,sf100,duckdb,1
h08,3,10/04/2023 21:35:26,17.117544225999154,50.544149476,boost,True,1113690.056,61430.17940558725,sf100,duckdb,1
h10,3,10/04/2023 21:35:45,18.367159811081365,53.391094871,boost,True,1169998.606,61785.22896121924,sf100,duckdb,1
h11,3,10/04/2023 21:35:48,2.123192531056702,6.0650829,boost,True,164820.989,62093.13790504467,sf100,duckdb,1
h12,3,10/04/2023 21:36:03,14.01728913304396,41.418155207,boost,True,907194.341,62510.938022198665,sf100,duckdb,1
h13,3,10/04/2023 21:36:28,25.110725717036985,74.73673996699999,boost,True,1615303.809,63085.14844066223,sf100,duckdb,1
h14,3,10/04/2023 21:36:39,9.770971553982235,28.410531923,boost,True,636650.227,62000.92782880946,sf100,duckdb,1
h15,3,10/04/2023 21:36:58,17.981500460067764,52.913751696,boost,True,1159593.032,62748.392636183,sf100,duckdb,1
h16,3,10/04/2023 21:37:03,4.572081317077391,13.443136878999999,boost,True,315220.82,61855.929252348455,sf100,duckdb,1
